Title,News Agency,Link,Date
"Christopher Columbus Likely of Jewish Descent, DNA Research Reveals",The Media Line,https://news.google.com/rss/articles/CBMisAFBVV95cUxPOE1sOFZWQkN4SHBqOFpKMmNnMW1pRDJaWmRoOTFsVjFuWmhfZFNmdElrMG94aWdGbHR5TkppbC1VYTctT3lzNm5DTE5fQURwWjFFYmZKcEowYWczeTJwd2ZzcDdOQVlTQzM0SkZVMWJPcGFfeUMtY3F0Z2wyelVzUUl6emdtSnk4WEZwcFlWZnBORlJhR01GTTd0bDBMbkxTV0x5WFh4dXBXaEdyQmdKVw?oc=5,13-10-2024
New evidence suggests Christopher Columbus was Spanish and Jewish,The Local Europe,https://news.google.com/rss/articles/CBMioAFBVV95cUxPT201cHNZMkk4cHNaU0t5NGpIclFiZmp1TUp3NGtfLWpackRHZDFFZ1RIekNWMjJXTzBGNkVSVjViM2J5QVlZY1o4Qmk5TW1WX1lJNTJKQklzNkdwajZETFFqTkRoeWNHTl85RmhRRERuZmNUaUhMRHNKZUFvRTJkOGdNLUEtQnhnU1RXdzlrdVFtNFBDQ2d2bmhfelg0QVVh?oc=5,14-10-2024
DNA Reveals a Surprise Twist About Christopher Columbus,ScienceAlert,https://news.google.com/rss/articles/CBMijAFBVV95cUxNZ3pqcGwzbXh6Y0toUTQxWVpZQUZacFBSVVNLWUJfcjcyWjdFemd4YmM5a1MyUWI2YmFleXBsUXE2WTVqR1RRNEItcG5xVjRkV3ZsemN1VHRtUjNycUNQTFJWWlFUeDVmLTNwRnBPUXdMaHNhczJoa05hYk83VS00elJxcUk4OEFkMzRYcw?oc=5,14-10-2024
DNA study confirms Christopher Columbus's remains are entombed in Seville,The Guardian,https://news.google.com/rss/articles/CBMipAFBVV95cUxQUDBFbm9uWFRBS1JIT2RXcGU0QkxoeGh4blFWUHMtUmw4RlRzcDBBT01PUVRSbGhBWXlYbFB3Uk1MRHNrMnhFZmttSlk4Uy1YVnQxR2tzYUpFUUluNzMtN2tuZFRCRlVMOHBodlRtTHdJNFRhS3k3blFMRU84VFhXaGwtdnYtWGZKY0RzMHlucjh4UzRqV2RzVlpnQ0pEWWl0M29UY9IBpAFBVV95cUxNNWFReThWZW4ySDJxQ0I1cGlJSnZmM1pKa1BDV3RRb21GLTFhRm16OTA1SllHZUIxYjdzakgxc0hQYUhvVjNRUkd4TUt0SUFBdERtV002UFltZWRBYjlSMnR5ODF5ZGhMdnZZM25LbHRsT0wtSGZqMnVWaHVWNllsYUJ6X0NVYWExQWhBME1ldWo5Uk5fdVdCbmc3S2U0dHlsdlFNUw?oc=5,11-10-2024
"Christopher Columbus was likely Spanish and Jewish, study suggests",BBC.com,https://news.google.com/rss/articles/CBMiWkFVX3lxTE44dDNwdzZtelFfZ0tXZW9zTTRtLUhfZlU2aEw4WFJ2ZHRObGRZUksyUGpBaS1ETWxVZ1RLZzUyNlZZMEVWblRVcU56Wnp6eXR0cHJ2c1JOLWNQUdIBX0FVX3lxTE9EME1WQ2dLWGZLdlR1Vl9fRGRDVUNoaG03Q3JDeTBBZWpZOE9Cc2g0LUpmcm5sSWRTWFpUNWRiSUM0LTZXX2Z1R29DbFhlRjVCcXQ5SmtlbkRpY0otR3ow?oc=5,13-10-2024
Study finds Christopher Columbus's DNA 'compatible' with Sephardic Jewish origins,EL PAÍS USA,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOUjc2ODItZlpOQWNfU3hhZUFCY3I2STI2aHl4SWJBZ0t2VnpjZXR2MU1hQmliRWJJSXZ0RGJPUllwUUVrZnZTMUwyLTlYeEhHNjlZMll0TGh5eWM1Q2ZqTktVS2Q0amxrVmZ6djhReXVBU0NTbGpJUG1iMmRwckRJaDd6OEN6SktfRVJyZ01kMUpoOWVIUERfcjA0YlM2OGxDRmhzaDQ4SjJNbTJZbXlZd1IxZlJXeWtaYUpEdFN0WUR1SmNGWEV4RNIB3AFBVV95cUxOU3N5ZVRKX25iT08yWVpxckZrWVVtczd6c0RVUDh4Q1I2Rk9vOEhxR3RLU1JKei1QQzkzSUNTcTFpTnJiZjludFB1V2JlMVdwdTh3bjdtQW9CRXBBc0xCYWVwcGFFX3pPSDV5VlZEam9TNlFKRWZkcHl6eThwYzNyTnRtNlVxdWVwZ2hnNDVoRmozRktSUkQzalBzUXBHS296SVNyM2tleXBxLTFjVnNMYzFQSzNkaEJIejZKaDRuZU5VMzRjT3EyaG5qTFdMOHE1cGE5Yi0xYnpwUWtK?oc=5,14-10-2024
Christopher Columbus revealed to be Spanish and Jewish in new doc,Euronews,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPYXB0MzZ0aktaX2VwY3J5ZFNZS3BNWnE0SXVHNVZkNnE5UkF0cl9Ed0pRNl8yc3pXTkJvYkdjMGlQbzlvY2dabHZKSkZtNHo4b3FkT3J5bHQ2Vl9xcEdkNU5vOVBkeUhvelM3LVdTWXY2YTdPWG9VTjMxcmdNRWNoRUNTVDJEWUF0Q0N1V3RiZnJEaWp1WU8za3ZGYlNmNzJVVmQ3S2k2bXdvMXZ2Wkl5RVU5bkJrVFQ4?oc=5,14-10-2024
Research confirms authenticity of Christopher Columbus' remains in Spain,EL PAÍS USA,https://news.google.com/rss/articles/CBMivwFBVV95cUxNNUJpUHpfMTB5NzlGNmtYZk1wYjMyb2NUQ2xFQmhNVXh1ZldhYzc4eldLTEpHV0JHOE9Ec0IwQXZTYzVubTQ5UUFvX3I3bWk0WnlfSm5CTzRTNmp6dGFkdnVzR19fYjY3UWtHZnRvOFFxRF9McFBYcHREcmVJSHIwR0N1eFRZRG9FUUZ0WVZ6TFVhNlpxSnc5VThQcVR1cFJyTlVkUFNtYm1HMmdnTDdUakV0cGJhZjdYTkRpdzc3d9IB0wFBVV95cUxOaURKdGlXcjRPRzEwMjZLLXRlWHMzbmxUWk5CX2Y0ak00OE8wVGhTWjdNODFQRWRlRzhjaXhtQXVSOUR2Tk90QWxVMExURTktcktFUWhzTE0zLWUwaFBCRGYxQjZ4RFpJaDR3VVVCenpvcWU0cmNOdk5mYkhoeVItdkd0UkJBTVNUY2RDOXRGaHNNWGtLSkJMWFVZTG5laVc2V0NVX2JFZ1RpOFNtMlBQakduS3R3TUtfaS10UUNHbE9GOUtBNDBnV2daMW12UTVlajhn?oc=5,10-10-2024
Christopher Columbus' mortal remains found: DNA analysis solves the 500-year-old mystery,Hindustan Times,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQMENiNm9WcGF4SWQ2NHktOE5DQTV5aDY4ekc2N19Eek4yOFJlMDAzWDZ1bkxvcmdiT3MyTFlpckJkS0FMRl9UWmVvWTNxa3AwcGg2RFNFMllGUUs4SXlJLVRPQ2ZIOE03VzAtbFc5aGpQOVFtTWdBcm9RVkQ3b0VfWjVsdUxWaDhoaEx6RjFqdWFZcHB6dUFiYUpHZm5LVUNqUjc4Vm5sbnlEWlJ4SGVydld1aTZvSkxpcmswRGp1ZjN0anBoRjhkYld0cWJZVHZmUVpkZGFfaUxzVDk0cmJFYURHb9IB6AFBVV95cUxOX3B3UGtyTjcwREJVWlp1VFdlRUE5R01Ja3hqYXdGRWEtaVZHSC1Na0YzeWU0bWFHT3Jydmd5bk9BUHBFVzh4N0Q5RnVoVXVsMEoxcWhId1Fpb0FSZ3k3Y0Z2dGphRjExeFdnYTNyMG9QMXVPT0VKVzhLWGdoZmpHcWJlTk9McC1paXJNZjFldWI2VnEyTG5LempjWXB0UXhJejZHQlZfYTMwcUE5bVA0WDhvVGZ5R3pYR3V5ZU14Y2FuMDFGNTh2ZTVBUndzci1leHNHNnFTeEw2ZXFKSWtlZjVXcW9lQk85?oc=5,13-10-2024
Centuries-old mystery over Christopher Columbus to be revealed,Sky News,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOTEpwc1o2SlZiYzJobjBRT1VXQWprOF82VnA5MURYbENTYjFXRkpDWEYtZVpmYzNVNzhsRGxZOGJBekxaOXdwUWlkZDBjNE5Ia2QtRkZEa20xMm0xLUZ6Q0p0aUNKQUNIWHNpVXpoQWxhX0MyM2xJRktlbVdCdllsVjFJNzRKV2dJRmFGUnR4MVhodjRDTzhkY1QwQnJ3RTRja0t0QWNzZzBKUjTSAbABQVVfeXFMTW92NE4xbDhSeHpOdnFjd1phMlo1N2Z3V3F2Y25zRTV1c0pmYXhYazBqc2Y2RGhJeXJVT1d6N0pKNlV5NzNub2I4TEZGYl9EVFFxYkNVeVJIdG8xSW9PN093NGx5SVMxNEJvXzc3QXYxeWtLVXJVV09rYlNQM0VsMXJoVXJFNTN6YjA4dU5rekRCejlkV3l5eVcwX2s3eFVLa0JPZzhmVFhmQi11RFY2T3I?oc=5,12-10-2024
