Title,News Agency,Link,Date
"Jimmy Fallon Brings Australian Breakdancer ""Raygun"" to Late-Night",Bleeding Cool News,https://news.google.com/rss/articles/CBMilwFBVV95cUxNMldNMjJ4dTEyRTQtcXhhSTAtUWgyeWdOOGVlcWg0NEJKLUIyYW11NmtOazhDSzJYaEplV1c5YXNQNWpZdUo1Z0JWZ01peUNEWlM4NzB6aUxUN2VvdVRVX2Y1bkhHU1U4a2t0WkduSk1WeU5UU1N4bkJjencySDhWZzc1WTFiVGxLLTd4ZURFNFJxd3lwUTRv?oc=5,13-08-2024
Who Is Raygun? Meet the Olympic Aussie Breakdancer Who Went Viral for Her Dance Moves,PEOPLE,https://news.google.com/rss/articles/CBMid0FVX3lxTE4tRjY0ZzBDT1lTb21PSmhOZDJmaU5hNGFnWGJJejBDUVh2cnlvaGFiNExkTGY2T2hibjZGQWZPbkpWX0J1bFNMQWd4MWtmLVhIc0F6VDhJcjBKdHY1N1c1cEFSTVJjLWIwUjdJbHI0MUE2WGZwaWt3?oc=5,12-08-2024
Fan Petition Calls Raygun's Olympic Selection Into Question,Us Weekly,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNdThUNWMtb2FPY2JCTWlES0s0cWVraTMwWUlidHZ1SEttMzJzTjBQUTlqVG42d1UwWU5OUXEybnFyYnlmeF9JWVdHWHphU0UxeVRoTy1NMGlWeXd6TTBrVGlLOU1ZTW5VV0xrbGhzOHAzYk9kNUEtd3FXVTE1NVJHU3JjT3JpQy1GMDByTjQ4NUxMZHBFSEdiek9qR1lFakJYOE5pemtqQ0w?oc=5,14-08-2024
"Viral Olympics B-Girl Raygun Says Online Backlash Was ""Pretty Devastating""",Hollywood Reporter,https://news.google.com/rss/articles/CBMitwFBVV95cUxNR0FWajFGRXpaeWpZZ1RXVkw3a1FNc0F1c2J3TnVJNVVvV1c3WkpjXzlIdW5YN0NpMEotanVsVEdaeVZVdmI2U0pQVlBmUl96TzZLVGRwMUstMjFCVERJeEJkLVpNQ19NMkc3NkNaYzVqY3dXVURHNHljcnh3RlpoNVg2c24xejF5TEJaNHBKR3F0bmdUUWFMcnRXNjMzNGtrWXNkc205YmlFVWVZMU5OWDNld294NDjSAbwBQVVfeXFMTXBfZWdRSUs0UnJzQjRYM25BRmFkQ1dyaWd5clR1enBGTW1pSWtFeUdNc2gtQWw0QXhCOVNtT29aaFUzODhCRHgycmlBYjFSSS04RjlVUmR5c1BuWV9QTm00VUJDS2FTR2hqeHhVSmZiMmxPV3RSdkhSXzVMZnF0Qlk0OFpaRHlyZGxSYXdWOENIdnQyelJFX0xuNjJDRlVsaFFNYmllUGdEWGVvLXFuWlBrY2o2amFPdGRJb0w?oc=5,15-08-2024
Australian Olympic Committee hits out at criticism of controversial breaker Rachael 'Raygun' Gunn,CBC Sports,https://news.google.com/rss/articles/CBMirAFBVV95cUxNazhqdzJMQXVOQU5HVTJoWFhzUV9RUjNYS3pYVjJKdzJac2V1Sl9NcEZPSzFhM3hoV3dqOHpfMUtyTF80M3FYbmYwMUxpRVE2UDVpbV84UlZrakVuY3lTUks5azJaa1I1cXlNdDI4NHNtWTZjakhZNHR1SmhxTjhOTVBZMldQN2J0Qy1WSmJ2WjE2UHpXckc5QzI5MXppQ0lVdnRXQnBScEtydnVU0gFHQVVfeXFMT3VpLTBpTGxSWmw0eUt1T2JkeHdPVDFyYThuUU5EUmtCU1hrakhWdzZka0JhUGZIRjYwaU1vYnVrUTlTLWpRUWc?oc=5,15-08-2024
Olympic breaking had its moment. But will we ever see it at the Games again?,CBC News,https://news.google.com/rss/articles/CBMic0FVX3lxTE9ybDJjbzZOS2FsQlVnRjI1UXpnSFdqWGtVcERwYmVYNEVWNEVVRWZRLWtrMGhXSDVVZWpQUzRfdDkxeEhxRHhtaXBMOHpNQ1JRQnhvRTB3MEdVWGM5M2FVU1k4MHh4SjhXTC1HVVNpTUliLVnSAUdBVV95cUxQTE5RM3VQZW01Tkt6aXlURmU1MWtJdHFraVZUM3p5Vk1XOEN4dUNzeUNrSm52SFZMSWtOV2h5SkxOUGVnbmIxaw?oc=5,12-08-2024
Raygun 'devastated' by online hate after Olympics performance,CBC.ca,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1yUHluMGlUcXlVb25lNjhRTmZoWlVlUXRSNXFrMGw2bUVYNkJFV2pYNXdtUExMWnREVUZFMTZYSDlWUzVUbk1CZUZiQTF6emJyUEVETGZGOFB6QQ?oc=5,15-08-2024
"Raygun Releases Statement on Olympics ""Allegations"" and ""Misinformation""",Cosmopolitan,https://news.google.com/rss/articles/CBMimwFBVV95cUxNQmNiS05fUldwVWU4dDQ5NHFUXzdjd3N2Um5Dc0wzeEZRRFYyV2RWa3BwczVBbmlIUmJTakdFRHNJdGNhdm00X0hqT3ZfNVN0bVppWnlvTDQtWEx4bXBFYkdBTTUwSnZxeWRWSUFpU215VmVnN0h0Y0pabXhSQWtVLUFveVQ2TVd6ZWVScDNpSFR0QnVDNXhKNkc0MA?oc=5,15-08-2024
Aussie Breakdancer Raygun Claps Back at Critics After Paris Olympics,Us Weekly,https://news.google.com/rss/articles/CBMitgFBVV95cUxPYWdFd3U4Tlg4SG5MNkRHTmtXUHZCejJkelNzWVQ4elZRQWtBUjRET1lzVlgxMzVjMldhXzlOMHUxbnRDSy1WSGhVd2syd2tZRk9QT0NHbmxYVlNzQ1hKQV9SZkhBUzVMSE50SlhsY3EtZEZsQXJRUE90TGhPWS1iTlM2Zmhfd0NIVUo0WmJoQkQ5X2phTUhhMFdtU0drVGJSUXN3NmFrYWRraC0zVXFGN3FUOXVWZw?oc=5,10-08-2024
We must have the right to ridicule 'Raygun',Spiked,https://news.google.com/rss/articles/CBMikgFBVV95cUxPMWhhUlFJZ1ZMSTJ0NXNyNUNFbVNiQ0dDVnRlWXVuOEJBX28wVnJEZWlUSVFidXo2eWdNRGhpazZKeVNUanpoU1AzV09QSDQ0SVZocUVyamlfU3l0Ty1TRzBDcldXdHo1OHBxYmlndlNBME1Fck1yc1AxNUNDTGxlVDhXMmVpWU9GUS0tZkZyMWZ5Z9IBlwFBVV95cUxOQzUxUkF5MmxyU1ZWVkNNaTFfb2pmdWtVUzlmYlE4b1dhYXI0SW8zY2I5Z3FKUV84Uno1M1JnblliZWNWa0tfamhsSkl5UDdIRWJwVkRBWmVzX2l3eHU2RmdqdWt2RUpXRHBkbFVoR1FaeUpxdjB3MXZpTXNQN1hMSkVsNU9JbVdxVk10c0tzVVdYa2duaW9N?oc=5,12-08-2024
Australian breakdancer Raygun opens up about 'devastating' hate online,BBC.com,https://news.google.com/rss/articles/CBMiV0FVX3lxTFBfdWJta2FPcUJrRnRLQ0E4TGVYMktuRlV4enBRay1SZ2JpOU01UENaQTlDUTRoZUZiVEwzcnNjcFY4cEdMbWNjZWt4c1NVVW5kMTBUUGlpdw?oc=5,15-08-2024
Breaker Raygun 'devastated' by backlash after Paris Olympics performance,Al Jazeera English,https://news.google.com/rss/articles/CBMisAFBVV95cUxNQnpYd1c4ZkpEUlEyVUZkLTQxb2dMbTAwSGJwUGtBcF9YZjNVazVXVm9zcHh3QVlyU0I5bzI3WTAzdzMxUGp1ZFM4dFZjZXd5b0t4YzVDSDYzUk1fWVh1M0JpWTlHQWdVeGpQODA3U2RNVGhaTnhpZjJIRmRhendpUElmLWJudkhqQjByWFB4bkt0T0Y3eWhBSHBHTXc0M0FqRGZsV0l6blRKNm83ek9la9IBtgFBVV95cUxQM1VIYmJTNzZseGVlLURDcWRfQjVmVjRITXlQblU3V1JyUVpKSmxidFZ4Tl9lNTVpUUxsUzY4aVUzbXBIbnU5UnQ2WWNQMmMwX2g4TExKY3RpMnF2a3JzZ0ZEVVpzbDdvLWh0WTgyYXEwSzdBWnY3T2syUTZjeU5qbUNFQjlCaDRRVzRXVG5uMThGODFselIya0pqanRRbnN6TC1ZNGtCdlVDaVBIQ2ZpbkU4bWU3QQ?oc=5,16-08-2024
Viral Olympic breakdancer Raygun defends her performance,ABC News,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOZEZLOGY3eEFnVU9YSGZWLUhzNXVzYllvY0RyeVRBZFhCSnphdGZZSVkzd2pMUFpQLXJVRVJxR1oxc0tuRFF5TUkxMmppYVRKcFVxQ1VialVIbUpSYlBEenFIanZKYUFZQlAwVk4yVDFrYWNVeE42ZGtYbWpURjM3S2tJLWNVQ3hnVTVFcDBsVEU1NzRvcWR5bmtITGNRNU9NSDE0NjJ6bUXSAa4BQVVfeXFMTm5Ubko5Z09sYlFSYVRpT0s1d1gtRE9SbVVmU2x2VnV1Z2R5Z0o4V21MU3RXNmtNcm44SWJ1MWp3U2dVOG5NTVZINjVIVkZuZFV0M05UXzBoUXBRZmJqUUxtNzBHRm9SYjZMRjFjY3QwT1VIYmxFWnkzTkRHa2JmYk5HWGxQRlNiUjRmVEtac3RzZkZRZDZBTlpXQ25ab21YTU1BNVJZODd5Zy1teWl3?oc=5,12-08-2024
"From Phil Wizard to Raygun, breaking is bigger than ever. Is that a good thing?",CBC News,https://news.google.com/rss/articles/CBMigAFBVV95cUxPRnZZQ0lHckt0RFhubUpiNHVMcWk4RjRrLUFxS2h1MjZTNFN3NmM2QW1VdXpzcDhfYzJRcXBkSnduX2UtMlQwdHpHOW85WEowNC1GcVNjZy1zXzh1ZUF4MExwUEcyZ0F2dFZ1WHFFVjlkSzlhVHlmdkZvMk5tbmhzUdIBR0FVX3lxTE5KQnZhMDdNaXFIa2RTaWFEYThfblFDYURIWllNTGlVMTl2TXU4OWVXR2RrTXNoV05TdDIyV3pmd3E2dVpiNGRz?oc=5,15-08-2024
Raygun's terrible Olympic breakdancing bordered on the disrespectful,The Baltimore Banner,https://news.google.com/rss/articles/CBMitwFBVV95cUxQcHJZSW15eGRfSGJxd3Fzd2x1TnNKTUM4eHZJX0xnN1ZmQ2Y0cTgzNmxxbDdsbGFQbktqQlVsRmEzam82V0F1cmJoLWRaZmNMU29UMWpvOVZ3RW1xWkVmeV9CdHg4Z1ZFa1E1a2hNemhURUo2RlNzMFhjS2Q4Q3duUDZNajI1NVpKVmxjMEhGOXU4RHU4VDMybjgyNnBmREN4Q3VUZlR3MGhXVWQzS1lEMEViSVIxd1U?oc=5,15-08-2024
The Breaker's Back,Vulture,https://news.google.com/rss/articles/CBMihgFBVV95cUxPSngteUxJQ0F5V3hzTF9zVlpXRTBCSHEzdUo5b3BkRWJpVk9jdmsxZE9vNUtDTFZVUnN2S0kzRDJ6ZnlmMzVOTVZTQzZNTkdmbWxwZGZxS3NoaVNiMmZFM1M1TkdCSjkwcmZCakxlZlhPVnBPU1pucVlXS3JGbzZVT245SGMzZw?oc=5,13-08-2024
Aussie Olympic breakdancer Raygun goes viral for all the wrong reasons,Toronto Sun,https://news.google.com/rss/articles/CBMirgFBVV95cUxNUWt6aWNDWlpGYjdIclpENFlHd1JEYXE0RnpIc1BPaVV1ZDhpVGc1LTdDSGRoUDRGU1B0Mks4NE5nSHpDU2dGeG12cFRhVXVfR1Z5bzZud1d1b0pQdWRRb2hiTkpVWGNaU2E5d0VCYVdjZEJKalpDZW9qc3BoZ2c0QUVlTWlDSVlKdmFtOVNZTTc5NHpobDZTcXhRam91RERuY1NSa2N6RGFuU3k5ZVE?oc=5,12-08-2024
Raygun Addresses 'Devastating' Olympic Cheating Rumors and Bullying,Us Weekly,https://news.google.com/rss/articles/CBMisgFBVV95cUxOZ0trb2pYdzZqTTNRQVJCSkxNaElpTnAxRXhsSUtoZTI5X0t3QlBwajFRN210RHA3c3FZY1hoamstQ0tQTDlIZlRrX3FuR3QyaHJveTNjZEVWRTBGNjNud3ZzOE9KVjA3cGhIUWt5YTczQnNDcE5nZVgxWU13Y0NMRWgwblRHZWROSm5CVnhySWZ1X0hmdjBNMHlxeDhUaTF2Vi1qd0FPbDJTNEtZandPRFJn?oc=5,15-08-2024
"Raygun, Viral Breaking Olympian, Says Online Hate Has Been 'Pretty Devastating': 'I Worked My Butt Off'",PEOPLE,https://news.google.com/rss/articles/CBMimwFBVV95cUxNV3RMZF9DcUltWHhnUnhtUkRyX3NaY0ZMTUpjTDE4Rk5UNHgwaU10Xzh6QTlIdjM5cldMOF9YMHNvSXJwQmg4NXo0ZUJjLU9taE9HZmlmT2dmZy1ESFNORmNXcnRnOWNDaXBIUW9mOUtjTWtuaFAtaUJtZmk4OFNfU1R6V3o1YXh1azV2c0VGVG8wOEtnU1h1SWRMWQ?oc=5,15-08-2024
Australian Breakdancer Raygun Says Olympics Hate Has Been 'Devastating': 'I Ask the Press to Stop Harassing My Friends and Family',Variety,https://news.google.com/rss/articles/CBMioAFBVV95cUxPZEE2a3dLWVI1X2NCdk1QREhKWk54aFg0SDVPY3VpejRJc0FpNHkxSGJORjBSa0tyS1BCcHY1THNranFuSGoyejhNeUgzNE9tNTdaeTQzcnB3LWFCR2pDaE9FNnlvYnNIdnhGeEIzLTVOaWp1ekExREhBcll6N2otU0VvbVZyVVZtWlRkVm45THMxWU5KekllcDhhY01tM2RN0gGmAUFVX3lxTE9xVHZUajR5djRUZ2VzanZQaGVRWHpvbVEyTlhIUnR5cWdnemY3ZnQ4cUpoMG11ZjdRVDN6dURlNmhjWDNKTkdhRjZrTm5HQk5DZE9Odkpud1dpeDFSczM4NXU3eEluQkc1YV9TZDgyRlVVQmVxXzJHdjJwclc1TV9OV0NySjdpcXpfOVpzc29EdXRXdkpOX1ROUU40MzNDYlkzalRJNWc?oc=5,15-08-2024
