Day_trump,trump_scaled,Day_v2,iran_scaled,moo deng,raygun_scaled,moo_deng_scaled,columb_dna
2024-09-11,16280.01628,2024-10-04,4260.651629,76.19047619,23.80952381,380,0
2024-09-12,6105.006105,2024-10-05,3634.085213,57.14285714,23.80952381,280,0
2024-09-13,5087.50509,2024-10-06,4010.025063,42.85714286,23.80952381,230,0
2024-09-14,4070.00407,2024-10-07,3508.77193,47.61904762,23.80952381,240,0
2024-09-15,13227.51323,2024-10-08,2756.892231,42.85714286,23.80952381,210,0
2024-09-16,12210.01221,2024-10-09,2506.265664,38.0952381,23.80952381,195,0
2024-09-17,5087.50509,2024-10-10,2506.265664,38.0952381,23.80952381,205,0
2024-09-18,5087.50509,2024-10-11,1879.699248,38.0952381,23.80952381,200,1
2024-09-19,4070.00407,2024-10-12,2255.639098,33.33333333,23.80952381,170,5
2024-09-20,4070.00407,2024-10-13,2130.325815,33.33333333,23.80952381,170,19
2024-09-21,3052.503053,2024-10-14,1629.072682,28.57142857,23.80952381,145,100
2024-09-22,3052.503053,2024-10-15,2005.012532,28.57142857,23.80952381,135,69
2024-09-23,3052.503053,2024-10-16,1629.072682,28.57142857,23.80952381,135,6
2024-09-24,3052.503053,2024-10-17,1503.759399,23.80952381,23.80952381,120,2
2024-09-25,3052.503053,2024-10-18,1629.072682,28.57142857,23.80952381,140,2
2024-09-26,3052.503053,2024-10-19,1503.759399,23.80952381,23.80952381,125,1
2024-09-27,3052.503053,2024-10-20,1629.072682,19.04761905,23.80952381,110,1
2024-09-28,3052.503053,2024-10-21,1378.446116,19.04761905,23.80952381,100,1
2024-09-29,3052.503053,2024-10-22,1503.759399,19.04761905,23.80952381,105,0
2024-09-30,3052.503053,2024-10-23,1253.132832,19.04761905,23.80952381,100,4
2024-10-01,3052.503053,2024-10-24,1253.132832,19.04761905,47.61904762,105,2
2024-10-02,3052.503053,2024-10-25,1127.819549,19.04761905,95.23809525,100,0
