Title,News Agency,Link,Date
"Who Is Moo Deng? The Viral Baby Hippo, Explained",Forbes,https://news.google.com/rss/articles/CBMitAFBVV95cUxQNkREU1AxSTNvaWsxdmxiYlVWNW4zR2IxbG9mT3E5RHl4U1pEdjBkNHRwWXM0dVpzTFJVZTR4ZjV2Qno0M05sSDdvdXNmd0JNQ3dEV0x0MUR4UmNHZkk2WGVBRVAzbklhSGRTNHBWbGlhbHdwcm8zM09RSWo0bXNXemRnZEE3Nk43NmlELTRvcnUtYmNOVGtKVElIRG9UVTVjQWhTdG8zdWhaSzhNR2k4TzVRN2Q?oc=5,13-09-2024
I loved pygmy hippos long before the world fell for Moo Deng,The Guardian,https://news.google.com/rss/articles/CBMinAFBVV95cUxPU3AwZHhrNmhFRGtYaHV6dHdoNVJPbXAxQVNuXzhFVmsyRkFLVVRRYW1mSWM2eHZyZ1lnUXhHN1BuMW1CVUVnOXBDVFEwQzNlaW5pbEZDYVRhX1RYVmZPTWRTUjBPMWFBRDlqMFlmZUpnb2xnYzUzQUt2ZXpqajdWSmNwc3Nac1hnS084NmVhTlBNV2ZvbXJRTXA2N2PSAZwBQVVfeXFMUHlyX01OaTJwQ0VLOFkxd0djNmt6bGNFNGMzdUlhMEVfcXVQdTVncGQtdXBkSDNxRmVpQk9CQVpVMjJ1R2NwVWEyZVNicGZid29UMXlVSDVMUXFlVXhBYXJnREt6bk8tRThxcGxNV1hhUURMT1NhZnU0T3p5UC1rSFhCY1Z5b3VvSE9mRVZaY2taaDZVdm5pQklVX1B5?oc=5,27-09-2024
"Why we can't get enough of viral baby hippo 'Moo Deng', according to a Windsor, Ont. psychologist",CTV News Windsor,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNQ2djclpUbW0xTDBEcHRCNTd6STZiOUp1b1lWdTFEWFlGZE9EUG1SZ0JRdngwT3NlTWtOTDFWWW5NYkIxbTNrWTRIUmtoazl6bDk1Sjc3Sk9MSTZRM1BoRW9kV196Vk9UVFE4RFM5cWl2SnFNRURGMFhrbWpSSXdYaWE5a0dSMFV5U3paM1dpMDhDeXRrWVo5VDdGc3h4NlhRdEt5YWNGRFZoNzFsV2JiM25DYzl2a2ZpbEJ4V1FaSGRrdjc4Z1REdw?oc=5,01-10-2024
WATCH — Moo Deng's zookeeper tells visitors to stop being 'cruel' to baby hippo | videoclip | Kids News,CBC.ca,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQWFYzTDFhYlA0dUpIclVfSkNNY01vdDYycEhIRjBMZVNtNF8yeldJREE1VGFOLThkM1ZlRzMyRlVzcENod05Tc3kzVi1KTVk4YnlOSGVYVjN4OWZCU0hGY09aTmlsLWU5Z2d6WkFTM1g3OTdlY2FtXzEwNmZNOHljMHFjdFFjRjZoNEFrQTRVckYyX3FKTWR2RGoyd2lGb0twMS0xSl9KR2JXN3M?oc=5,20-09-2024
"Watch Moo Deng, the Sassy Pygmy Hippo, on Her 24/7 Livestream",CNET,https://news.google.com/rss/articles/CBMinAFBVV95cUxPdTRYQ1F6eWZNdVVVcE1wSVJ2QUxxRHFwb2ZrWFItSkZwRzJGZVk0TnVpcHdMTnlhdVYyN0RKaVY5UU5NNE5ZQ094WGcyQnlmNkFhZ3I0anpTV1RPM0RBcUZkSkhNOXVEazQ0TkNFQTdJdERCX2hUU3lxbU9oRHpxeUhZb1llZjlMZHYzaHZtcC1lS21lY1hUY3pBdG4?oc=5,08-10-2024
"Moo Deng, the Baby Pygmy Hippo from Thailand That Has Taken Over the Internet, Is Getting Her Own Livestream",PEOPLE,https://news.google.com/rss/articles/CBMijAFBVV95cUxNa0xDTThpck9kNFZ4QzhUdUMzR3lKZ3p1QUVFR1dGTkNtTWVEcDF1SU9TbHNrX1Jla2xlcnltTDVyMjJuVEFyWUVpbVBJOVVwLUZOV1Bnb2R4dUNhc1lmaFZMSE4yU2kzTDl5U1NsbDhiM3RIckUyMU4tNHBkSlpjTU8zaVMwS1BCNmxILQ?oc=5,23-09-2024
"Meet Moo Deng, the baby pygmy hippo so popular you can visit her for only 5 minutes",NPR,https://news.google.com/rss/articles/CBMigAFBVV95cUxPMXk2VHBNcUNBSl80LVp0RFg1UWJfNzBEM2V3ci02QU5QaEs0WG5IeVlJYTVYRVVJeld1RnBQeHJlQ0ZlYjFPcjFiSVpDakxzX1FDMmtWd3J4VG1VZTMxXzJhZllsRGkteTNXQmVpS1dKOG1OOHdSRFU3NjctR0oyUA?oc=5,18-09-2024
Moo Deng Is More Than a Meme,WIRED,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBKYWQxR2wzZzRKWkhHTF9QQy0wYnJBblFoc0RyMTNEc1ViU0ZVMXZNaGhoMlRnUTM1U1lpME9VU1JzTWdNYktEMU96VjJfX0hjM2RQUjNHclR5RDVtT194S2tsLXR0dmp3?oc=5,20-09-2024
Moo Deng: The shrinking habitat of the world's most celebrated hippo,BBC.com,https://news.google.com/rss/articles/CBMimAFBVV95cUxPTGFSc3NxV2dsVXY5VHhNdWNqMzREVkplTFpKRFMtTUZuZV83dnZaRHlYSWd6NzlsaUNFSjQ1R2lXSWJJSjRleFQ1QXMxUHVVLTI1aTlQdDBZUlpPM1NVUXFtcF9tRmo4OTB0X2dTX2VpQ0ZyUFhNaUZhMEdqTnNMRnBlek96MlFPNlFlMWVmWWl4SndtVDI1cQ?oc=5,27-09-2024
A Pygmy Hippo Is Stealing Hearts (and Biting Zookeepers),The New York Times,https://news.google.com/rss/articles/CBMihwFBVV95cUxQd2JSSEhpa1VzSk5RYzktYnFPUmpzaWh0TmVVVDdEUjloUC1FY0UxWDdfblRoWWZ3dkYzalFpOXRYc1NzMGNOdU82aXJkNkNXdTlJYmJWMURqc3huVzBvSFpBSUE2MmliTFA4VENpNXBMbm9mQ3dUMExaX0ozODF1U1ZaOG5xcGM?oc=5,24-09-2024
"All About Moo Deng, the Baby Pygmy Hippo in Thailand Who's Gone Viral",TODAY,https://news.google.com/rss/articles/CBMicEFVX3lxTE96Zl9TdjBXOTJFNTZsVldobC1DYTR6TjlfcFM1SXZMV3ROcERFLVdpSDI1NkZWblhDRmo4eFU4ZENkTklXR3B0b29SQW1nQ1lPejMzMlhtT0lrZ1B0TkhlSjNMdG9SbXpvUFUybm5yaUfSAVRBVV95cUxNSEZpNm82Q04xVnZaYk40ODN5eUk1UTNkTVNwTXdPck56emV3aDNPOUhOZ182Q0FodW92SzItaWpQWm5rdFhVbFR2d0l0WnZpbEJtN0E?oc=5,30-09-2024
Beauty Influencers Are Trying to Make Moo Deng Makeup Happen,Glamour,https://news.google.com/rss/articles/CBMic0FVX3lxTE8td2ktWnB1VDJrUEZTTHU3RnB2Sm9ISGdVdlF0bG11WXlvZlZKdklHeXJvZEtMczdLZGFVN3JFUVRQbmJOVkoyUXh6U0pzWFZZSlg1ZmhuQlFrOFV2Vy1zYU5QUktSbWR2SnJHdEJfc2x2eEE?oc=5,24-09-2024
